"","Gender","Age","Department","Response","Satisfaction","Statement"
"1","Female","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"2","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"3","Male","Above 55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"4","Female","36-45","OOG","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"5","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"6","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"7","Female","Above 55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"8","Male","Below 35","Agriculture","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"9","Male","46-55","Agriculture","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"10","Female","46-55","Finance","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"11","Male","36-45","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"12","Female","Below 35","Lands","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"13","Male","36-45","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"14","Female","36-45","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"15","Male","Below 35","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"16","Male","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"17","Female","Below 35","Devolution","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"18","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"19","Male","36-45","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"20","Female","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"21","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"22","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"23","Female","Below 35","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"24","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"25","Male","Below 35","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"26","Male","Below 35","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"27","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"28","Female","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"29","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"30","Female","Below 35","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"31","Female","46-55","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"32","Male","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"33","Female","Below 35","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"34","Female","Above 55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"35","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"36","Female","Below 35","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"37","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"38","Male","46-55","Agriculture","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"39","Female","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"40","Female","46-55","OOG","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"41","Male","36-45","Devolution","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"42","Male","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"43","Female","46-55","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"44","Female","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"45","Male","46-55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"46","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"47","Female","Above 55","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"48","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"49","Male","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"50","Male","Above 55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"51","Female","36-45","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"52","Male","Below 35","OOG","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"53","Female","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"54","Female","Below 35",NA,"Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"55","Male","36-45","trade","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"56","Female","Below 35","Trade","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"57","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"58","Male","36-45","Lands","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"59","Female","Above 55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"60","Male","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"61","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"62","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"63","Male","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"64","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"65","Female","36-45","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"66","Male","46-55","Agriculture","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"67","Female","Below 35","Transport","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"68","Female","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"69","Male","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"70","Female","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"71","Female","Below 35","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
